id,original_language,original_title,overview,release_date,vote_average,director,genres,keywords,final,clean
19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-10,7.2,James Cameron,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d Action Adventure Fantasy Science Fiction James Cameron,  cultur clash futur space war space coloni societi space travel futurist romanc space alien tribe alien planet cgi marin soldier battl love affair anti war power relat mind and soul action adventur fantasi scienc fiction jame cameron
285,en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007-05-19,6.9,Gore Verbinski,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Adventure Fantasy Action Gore Verbinski,  ocean drug abus exot island east india trade compani love of life traitor shipwreck strong woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting adventur fantasi action gore verbinski
206647,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015-10-26,6.3,Sam Mendes,Action Adventure Crime,spy based on novel secret agent sequel mi6 british secret service united kingdom,spy based on novel secret agent sequel mi6 british secret service united kingdom Action Adventure Crime Sam Mendes,  spi base on novel secret agent sequel british secret servic unit kingdom action adventur crime sam mend
49026,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-16,7.6,Christopher Nolan,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Action Crime Drama Thriller Christopher Nolan,  dc comic crime fighter terrorist secret ident burglar hostag drama time bomb gotham citi vigilant superhero villai tragic hero terror destruct catwoman cat burglar imax flood crimin underworld batman action crime drama thriller christoph nolan
49529,en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012-03-07,6.1,Andrew Stanton,Action Adventure Science Fiction,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d Action Adventure Science Fiction Andrew Stanton,  base on novel mar medallion space travel princess alien steampunk martian escap edgar rice burrough alien race superhuman strength mar civil sword and planet centuri action adventur scienc fiction andrew stanton
559,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,5.9,Sam Raimi,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge Fantasy Action Adventure Sam Raimi,  dual ident amnesia sandstorm love of life forgiv spider wretch death of a friend egomania sand narcism hostil marvel comic sequel superhero reveng fantasi action adventur sam raimi
38757,en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,7.4,Byron Howard,Animation Family,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick Animation Family Byron Howard,  hostag magic hors fairi tale music princess anim tower blond woman selfish heal power base on fairi tale duringcreditssting heal gift anim sidekick anim famili byron howard
99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015-04-22,7.3,Joss Whedon,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d Action Adventure Science Fiction Joss Whedon,  marvel comic sequel superhero base on comic book vision superhero team duringcreditssting marvel cinemat univers action adventur scienc fiction joss whedon
767,en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009-07-07,7.4,David Yates,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf Adventure Fantasy Family David Yates,  witch magic broom school of witchcraft wizardri apparit teenag crush werewolf adventur fantasi famili david yate
209112,en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016-03-23,5.7,Zack Snyder,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe Action Adventure Fantasy Zack Snyder,  dc comic vigilant superhero base on comic book reveng super power clark kent bruce wayn dc extend univers action adventur fantasi zack snyder
